63538321-2862-u	these aren't used
63542615-2862-u	Not sure I love this class name, it's more descriptive of what MS is doing. 
63555390-2862-u	Can we add some details about what location failed? I always try to give errors/exceptions some specifics for the poor sucker who is stuck debugging this when it breaks.
63555574-2862-u	That said, I find it super weird we're catching a 500 from core here. Why do we assume core is going to 500? 
63594567-2862-u	Can't we use `this` for storing stuff across `beforeEach`?
63595346-2862-nu	It'll help a lot for conversions away from Jinja templating data onto the page if we keep it separate from the javascript code. This case is pretty simple and contained so it's pretty OK like this, though.
63595819-2862-u	Maybe `window.` to be explicit what this is for
63284856-2857-u	theres no yielding going on in this function so it's not going to actually run in parallel with anything else. we call tasklets an 'asynchronous' technique, but really they are just functions running in an event loop on a single thread ala javascript. The yield keyword is how the mechanism that controls the ndb event loop holding these tasklets knows to go to the next tasklet and let this one sit for a while . furthermore, yielding on an expensive data processing loop for example won't actually help, so it's really only applicable to RPCs. It's more like a nice way to abstract and organize the management of multiple ndb async operations than it is like a general approach to parallel processing.
63361850-2857-nu	This is good info ? , might be good for a blog post ? 
63363469-2857-nu	You could always just pass this in to the calls to `_fetch_histogram_stats_async`
63363897-2857-nu	I am impressed this test passed before. 
63364363-2857-nu	when calling a function on a mock it always succeeds and returns itself. So this wouldn't have actually 'asserted' anything.
63207085-2856-nu	any reason for this to not just be in global.html ?
63208483-2856-nu	SM and MS have this at the bottom of all the pages, would that not work here?  <img width="987" alt="screen shot 2016-05-13 at 6 02 55 pm" src="https://cloud.githubusercontent.com/assets/6391814/15254010/f9076f64-1934-11e6-8f6e-a3cd9b610d28.png"> 
62860153-2847-nu	This reads awkwardly. Maybe we could change the logic to   if debug_flag or is_local_or_test
62860694-2847-u	Add a newline to the end of file.
62860771-2847-u	Do we write tests for our JS?
62722407-2844-nu	Is there any way to use the query from `ReviewEmailEventsStatistics`, I'm not really sure
62733597-2844-u	Order of imports. Move this up to be with datetime
62699217-2840-u	Just being picky here:-) If either firstName or lastName is missing, the space for connecting them is not necessary.
62541026-2837-u	Hmm, you should probably roll this back I'm guessing. Unless it was already here.
62389146-2836-u	You sure it's not already defined as PRIMARY_COLOR or something somewhere
62358419-2828-u	you shouldn't need to pass this in if they are all the same.  It should just use that format
62358673-2828-nu	the data for this and TopReviews are the same, is it possible to refactor this to use the same function as TopReviews. then we know for sure they will always be the exact same
62352534-2827-u	I think we need the # of delivered events here. Not 1 for all events to that email. That'd be the same as counting the emails wouldn't it
62352680-2827-u	{u'key': u'delivered', u'doc_count': 28} would be 28 delivered not just 1
62104999-2819-u	I think these strings are already defined
62105033-2819-nu	I removed `graphsInitializedWithData ` and replace it with `allDataAquired`, we'll have to watch that in the mregeds 
62105212-2819-u	does step 1 work here with 30 days? Seems like that would be super crowded
62105418-2819-u	does step 1 work here with 30 days? Seems like that would be super crowded
62036961-2809-u	there's no reason to do an `execute_async().get_result()` here, might as well just call `execute` Also, this should be `overall_stats` as it's not a future
62037148-2809-u	Because this is a blocking query it can't run in parallel with the other 3 queries. You could either make it async (which would take work to break out the formatting and whatnot, or you can put it after the `daily_stats_future` and it will run in parallel with the other 3 queries
62071902-2809-u	this name could be a class constant.
62072587-2809-nu	It's probably worth putting this explanation in the docstring
62073070-2809-nu	This line made me think "there must be a better way to round a float to 1 decimal in python". But apparently there isn't .... 
62073364-2809-u	could you note that this defaults to querying all time if you leave past years and months at 0?
62073667-2809-u	if you set `max_data_points=None` here it makes your call with the quarterly aggregation look clearer.
62073780-2809-u	I'd recommend using a keyword style argument for `max_data_points`
61972067-2806-nu	We might not need this computed property cause summing up all the data seems not to make sense. BTW, I have calculate total in python domain layer.
61972094-2806-nu	The same comment above.
62038489-2806-nu	We might end up having an issue here. The Open Rate can be calcualted with `(sent to unique emails)/(opened by unique emails)` as the user as no way of calculating that themselves. But your PR has the total being calculated as `sent to unique emails` which would be different than the graph. And it's possible for the SMB to see the full graph and count the total themselves. I think it'd be better to sum all the data here as it'll be consistent with the graph
62038809-2806-nu	does this effect other SR graphs? ~~looks like you're not using Srep.graph for the graphs here, not sure why these changes were needed~~ found the area graph
62039605-2806-nu	You can probably see how inheritance would help a lot with these classes. That's what the Class.extend stuff is. inheritance.js is the lib we used for this. We're getting away from that now as ES2016 supports inheritance
62039729-2806-u	should be `No Historical Stats`
62039893-2806-u	This should be in getEmailStats
62044714-2806-nu	Cool, wasn't sure
62052370-2806-u	Right, we'd show an empty graph
61956793-2804-nu	The date comes from the csv
61945887-2802-u	Could you pull this stuff out and test it.  This complete function is pretty large now
61939690-2799-u	Instead of all these `if` statements could you just: ```python for app in ACCOUNT_LEVEL_APPS:     if self.partner.has_app_installed(app):         redirect_path = '/{}'.format(app.slug) ``` You could probably even ```python redirect_path = next('/{}'.format(app.slug) for app in ACCOUNT_LEVEL_APPS if self.partner_has_app_installed(app), None) ``` ?
61950852-2799-u	Uh...can you take this out?
61951067-2799-nu	Not sure if we still need this import.  Probably break pylint
61911608-2798-u	Magic number.
61911690-2798-u	![shia-labeouf-magic-gif](https://cloud.githubusercontent.com/assets/2190961/14990423/bd39e660-1119-11e6-8f19-c3a6db401412.gif) 
61912562-2798-u	sorry, what's the different between total and reviewCount?
61913427-2798-u	Maybe a clearer name?
61915031-2798-u	no need to have the options param here as we aren't passing in options
61899268-2796-nu	Is this Ajax handler just for getting reviews requested stats? If we want to use this ajax handler to get all email-related stats (reviews requested and open rate), I think we should format data as follows: ``` overall_stats = {             'quarterly': {‘reviews_requested’: {'intervals': [], 'labels': []},  	    		       ‘open_rate’: {'intervals': [], 'labels': []}},             'monthly': ...,             'daily': ... } ``` or ``` overall_stats = {             'quarterly': {                 'label': [],                 'interval': {                     'reviews_requested': [],                     'open_rate': []                  }             },             'monthly': ...,             'daily': ... } ```
61797709-2792-nu	We'll make a note to change this
61797338-2791-u	shouldn't the key value be a string? 
61797489-2791-u	this variable name is not the same as what you passing below. lets keep them same for avoiding confusion.
61804410-2791-u	Very minor thing, account_deletion_date is a kwarg, should pass it through as one as well.
61807774-2791-u	Minor: You don't need to specify None here, that's what get will default to.
61744850-2787-u	can you update the docstring as well? 
61618243-2784-u	do you have to add else here as well? https://github.com/vendasta/SR/pull/2784/files#diff-7bcedd3f3489ae22fa90b8c7f96519c1R353 
61745738-2783-nu	maybe we should remove this comment now as it's out-of-date
61579167-2781-u	you can just do `opacity` and `tansition` our sass compiler should add the other rules
61493053-2779-u	Is there any point to converting this to a tasklet if we're blocking on these async gets? That's what yield does right, it suspends everything and waits for that value?
61493907-2779-u	nvm. I think I get it now.
61509818-2779-u	should `set_multi_async` too
61509854-2779-u	yield get_async
61582458-2779-u	The yielding is more about forcing the future to resolve than the fact that it returns something. But you're partially right, you don't need to **yield** this since the tasklet doesn't need to block on it, but you do need to force that future to resolve at some point... whether that's through a `yield`, call to `get_result` (outside of the tasklet), or an `@ndb.toplevel` decorator somewhere higher in the chain.
61593340-2778-nu	These functions should probably just accept an account group model. The handler already has access through `hander.account.account_group`
61594362-2778-nu	Does this fix that stupid graph margin problem?
61428866-2776-u	You're switching on aggregation name here, but if the aggregation name was always the same and you passed in the max number of stats then that would simplify this
61343119-2775-nu	are these names backwards? seems to me the "internal" one should be the non-deprecated one
61343162-2775-nu	wait... wait... I read that wrong... 
61335850-2774-u	We looked into this for PRD-94. Apparently if you set the min and max to now, it will give you the all time results, with the earliest data point going to the first review.
61336305-2774-u	Does it mean 'all time'?
61336474-2774-u	'one_month_ago' should be 'ten_years_ago'
61267036-2772-nu	why did you cut the spinner?
61267189-2772-u	Sta**t**istics?
61267847-2772-nu	Oh, I see, the data is available on page load. What's funny is that it still takes about the same amount of time for the highchart animation (locally) as the ajax call for the Total Reviews graph
61269024-2772-u	we should probably remove the `Arial sans-serif` bit
61269064-2772-u	*Statistics
61269240-2772-u	shouldn't this file be named `statistics_test`?
61293219-2772-nu	I think it's actually a combo of the time it takes to build the chart and animate it. It might always look kinda funny.
60999472-2771-u	Do we have some better marketing copy than "Set up Review Widget"? I don't think anyone will know what that means as a call to action.
60999670-2771-nu	Does this work? Shouldn't it be ```{{ super() }}```. Not saying it's wrong, but I've never seen it like this before.
61001047-2771-u	Is it a comment? Can we remove it?
60940922-2767-u	settings.ADPG_PID is in this list twice now?
60771612-2757-u	Why push each result? You can just build the list the way you want it.
60771931-2757-u	These colours are used in a couple places in SR. Is there a way to define some constants?
60775023-2757-nu	again, is there a reason to push these objects into the list rather than just construct the list the way you want it? I'm no JS pro, so maybe there is?
60795142-2757-nu	That's cool. Just curious, I thought you'd have a reason.
60466042-2755-nu	![image](https://cloud.githubusercontent.com/assets/8963131/14686516/44ced578-06f6-11e6-9415-93e9d2dc8502.png) ;)
60466143-2755-nu	inline styles?
59634293-2740-nu	maybe rename `path` to `actionLink`
59455346-2732-nu	Since vForm inherits vApi, have you tried using `validate_arg_message` instead of `pre_process_hook` for validation?
59456704-2732-nu	This is fine with me too.
59410258-2731-u	The knockout controller should really have the company name passed in to it then these should be coming from the JS.  We want to keep the jinja templating and knockout templating as separate as possible 
59410309-2731-u	this should be passed into the js controller as well
59411280-2731-u	This should be refactored out into a superclass instead of duplicating it 2 more times
59411508-2731-nu	that is my goal in life
59416229-2731-u	Yes, you might have to make an intermediary super class
59441491-2731-u	If it would be grosser to pass it in to the js then I'd just leave it like this.
59407387-2730-nu	I guess you didn't make this change ... but isn't the pythonically prefered way to cast it as str?
59407529-2730-nu	pretty slick
59395576-2728-nu	loooove these naming conventions /sarcasm
59296394-2727-nu	Seems that these things are unnecessary or could use the config values from above?
59296610-2727-nu	:no_good: 
59438068-2727-nu	Nice.
58944060-2725-nu	Does `visible: !postedByOwner` mean they can't delete their own comments? Don't we want to allow that?
58944406-2725-nu	It adds a lot of complexity with regards to the responded by owner stuff.  We aren't supporting it right now, I'm sure if people ask for it, that could be changed in the future.
58945551-2725-nu	Also we decided that, unless they really fuck up, they can just edit their comment. Seems like that would be the better solution anyway.
58946033-2725-u	This feels kind of overly verbose.
58946084-2725-u	Is this just going to dump a weird message from CS?
58946786-2725-nu	Out of curiosity what makes it more complicated? Is it concierge? Just wondering because it may not happen much, but I had one issue on black ops to delete a comment because the owner posted "I'm so sorry for your bad experience" on the wrong review, which was a 5 star good review haha
58947921-2725-u	I agree, I think the fact that the ui reflects that the comment isn't there anymore should be indication enough that the delete succeeded
58949189-2725-nu	you're required review here, but I don't think it's ever used
58949549-2725-nu	nm, I found it
58932560-2724-u	Is there a reason to use this kind of property caching if we only use it once? (I think I only see it used once)
58932939-2724-u	`forme` hehe
58933092-2724-u	I'd combine these into 1 line; `review_id` caused me more confusion than clarity.
58933117-2724-u	Is it worth changing the name of this helper method?
58934739-2724-u	Should we use @cached_property if we want to cache it?
58937098-2724-u	Or just rename this variable to something more specific?
58713398-2721-u	Just remember there is a constant key named REFERRER_URL defined in vauth. However, what we defined here has nothing to do with vauth, so it is probably fine to just use a string here.
58625140-2719-u	Would the actual API call return: ``` {'goodListings': [     {'ssid': 'SSID-1'},     {'ssid': 'SSID-2'} ]} ``` Rather than multiple goodListings?
58626379-2719-u	Ahh I got ya, so it'll return the good listings for each source.
58432018-2715-nu	this technically works cause it will kill the tests if there's an exception, but could you change it to be an assert ``` try     send_activity({}) except Exception:     self.fail() ``` just so it's written more like a test
58432070-2715-nu	and can you change it to 4xx err instead of 400, because technically this was 404 
58389126-2713-u	This sourceId is definitely declared somewhere else already. Import it from app.keys.GLOBAL_SOURCE
58392223-2713-u	I'm sure it is defined somewwhere, but I think you just gave the reference in CS, not SR.
58392450-2713-u	`LOCATION_PAGE_SOURCE` is defined in `lib/coresdk/profile_group.py`
58392542-2713-u	Haha. Yep.
